input_id	dealiased_id	standard_id	short_id
Wigner90	Wigner90	Wigner90	c9pTAV3r
Attneave54	Attneave54	Attneave54	vPOKN95b
Atick92	Atick92	Atick92	gNvO5wtL
Barlow61	Barlow61	Barlow61	OiY9qiDL
Linsker90	Linsker90	Linsker90	15JwvGbN7
Knill04	Knill04	Knill04	rXQAASZr
Friston10	Friston10	Friston10	52RUIxy5
Rao99	Rao99	Rao99	wDR6dzPY
Kirchner06	Kirchner06	Kirchner06	B9iZWoq3
Lamme00	Lamme00	Lamme00	aLzVgbd7
Changizi08	Changizi08	Changizi08	C15UyNIR
Marr83	Marr83	Marr83	1BQsDipqd
sec:AI	sec:AI	sec:AI	avmNjngh
sec:maps	sec:maps	sec:maps	Lv6XfZJC
sec:spikes	sec:spikes	sec:spikes	10EgMo1EK
Turkheimer19	Turkheimer19	Turkheimer19	16GK8iv5c
DArcy-Thompson17	DArcy-Thompson17	DArcy-Thompson17	7rzAnxld
Varoquaux19	Varoquaux19	Varoquaux19	12pYAP1ZK
vonHelmholtz1867	vonHelmholtz1867	vonHelmholtz1867	p062SF1J
Gregory80	Gregory80	Gregory80	154Yh4Fia
SPM12	SPM12	SPM12	XWLijuQh
Friston12	Friston12	Friston12	rEgcddt5
Mirza18	Mirza18	Mirza18	KwTZpTx1
Friston10generalized	Friston10generalized	Friston10generalized	Towk5GUl
Heeger17	Heeger17	Heeger17	TqCeNeNP
Kalman60	Kalman60	Kalman60	1FwZFZOoa
Barnes91	Barnes91	Barnes91	etEAqRbH
Avila06	Avila06	Avila06	6UMQUKGo
Adams12	Adams12	Adams12	BJrX1Czu
Karvelis18autistic	Karvelis18autistic	Karvelis18autistic	opGGuxUd
Kent19	Kent19	Kent19	5sfbLE8E
PerrinetAdamsFriston14	PerrinetAdamsFriston14	PerrinetAdamsFriston14	yPlhiekm
Damasse18	Damasse18	Damasse18	Yp9OHTtI
Kowler14	Kowler14	Kowler14	MRcQFPid
KhoeiMassonPerrinet17	KhoeiMassonPerrinet17	KhoeiMassonPerrinet17	7GEdzh5o
MacKay58	MacKay58	MacKay58	grTjp0B1
Nijhawan02	Nijhawan02	Nijhawan02	Xo775eyC
Nijhawan09	Nijhawan09	Nijhawan09	Ou6Lc3op
Perrinet12pred	Perrinet12pred	Perrinet12pred	e6tWWXTU
Khoei13jpp	Khoei13jpp	Khoei13jpp	lafwOQDy
Jancke10	Jancke10	Jancke10	zvii7ZUO
Chemla19	Chemla19	Chemla19	OAorhMRa
Muller18	Muller18	Muller18	vsKvZJ82
Glaser18	Glaser18	Glaser18	9KwP7Laj
Maass97	Maass97	Maass97	DUpFdm8C
Oconnor13	Oconnor13	Oconnor13	t2vrbV7V
Lagorce17	Lagorce17	Lagorce17	XJRKlfr8
Perrinet02stdp	Perrinet02stdp	Perrinet02stdp	19dB1pxIe
Paugam12	Paugam12	Paugam12	lT1Ato7P
Hansel12	Hansel12	Hansel12	14Ff1p8G5
Markov13	Markov13	Markov13	S549CvOe
Bringuier99	Bringuier99	Bringuier99	zNDCo9Hy
Kaplan13	Kaplan13	Kaplan13	WGEaBYgy
Bastos12	Bastos12	Bastos12	TShmr5KQ
Kremkow16	Kremkow16	Kremkow16	kVm5wFmy
Tring18	Tring18	Tring18	Fsp1YasP
Baudot13	Baudot13	Baudot13	PQeYtlMf
Ravello19	Ravello19	Ravello19	HpFxgh4
Vinje02	Vinje02	Vinje02	hkNq80Zs
Olshausen97	Olshausen97	Olshausen97	NvjJq2ON
Perrinet10shl	Perrinet10shl	Perrinet10shl	UxPkqxuK
Perrinet15bicv	Perrinet15bicv	Perrinet15bicv	6wJ3O4ub
BoutinFranciosiniRuffierPerrinet20feedback	BoutinFranciosiniRuffierPerrinet20feedback	BoutinFranciosiniRuffierPerrinet20feedback	V5piaIye
Brette19	Brette19	Brette19	A2lGKd9r
